name	description	function	returns	argument	type	details
ee.Geometry.MultiPoint.cutLines	Converts LineStrings into a MultiLineString by cutting it in two at each distance along the length of the LineString.	MultiPoint.cutLines(distances, maxError, proj)	Geometry	geometry|distances|maxError|proj	Geometry|List|ErrorMargin, default: null|Projection, default: null	Cuts the lines of this geometry.|Distances along each LineString to cut the line into separate pieces, measured in units of the given proj, or meters if proj is unspecified.|The maximum amount of error tolerated when performing any necessary reprojection.|Projection of the result and distance measurements, or WGS84 if unspecified.
ee.Geometry.MultiPoint.difference	Returns the result of subtracting the 'right' geometry from the 'left' geometry.	MultiPoint.difference(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.disjoint	Returns true iff the geometries are disjoint.	MultiPoint.disjoint(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.dissolve	Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.	MultiPoint.dissolve(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry to union.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the union will be performed in this projection. Otherwise it will be performed in a spherical coordinate system.
ee.Geometry.MultiPoint.distance	Returns the minimum distance between two geometries.	MultiPoint.distance(right, maxError, proj)	Float	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.edgesAreGeodesics	Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.	MultiPoint.edgesAreGeodesics()	Boolean	geometry	Geometry
ee.Geometry.MultiPoint.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	MultiPoint.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.Geometry.MultiPoint.geodesic	If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.	MultiPoint.geodesic()	Boolean	geometry	Geometry
ee.Geometry.MultiPoint.geometries	Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.	MultiPoint.geometries()	List	geometry	Geometry
ee.Geometry.MultiPoint.getInfo	Retrieves the value of this object from the server.	MultiPoint.getInfo(callback)	Object	computedobject|callback	ComputedObject|Function, optional	The ComputedObject instance.|An optional callback. If not supplied, the call is made synchronously.
ee.Geometry.MultiPoint.intersection	Returns the intersection of the two geometries.	MultiPoint.intersection(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.intersects	Returns true iff the geometries intersect.	MultiPoint.intersects(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.isUnbounded	Returns whether the geometry is unbounded.	MultiPoint.isUnbounded()	Boolean	geometry	Geometry
ee.Geometry.MultiPoint.length	Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.	MultiPoint.length(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The input geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.
